"","sound","amusement","anger","disgust","effort","fear","joy","pain","pleasure","sadness","no_reps","shown","rated","skipped","num.em","real.em","context","call","duration","sex","emotion","correct"
"231","ut_sex_19-f-mixed-moans.mp3",0,0,0,8.63157894736842,0,5.47368421052632,1.78947368421053,82.6315789473684,0,1.10526315789474,38,37,1,1.37837837837838,"pleasure","sex","moan",6.033,"OTHER","pleasure",TRUE
"232","ut_sex_22-f-breathy-moan.mp3",0,0,0,3.48387096774194,0,0.967741935483871,2.41935483870968,77.8387096774194,0,1.12903225806452,31,31,0,1.19354838709677,"pleasure","sex","grunt",0.949,"OTHER","pleasure",TRUE
"233","ut_sex_23-f-long-moans.mp3",2.39024390243902,0,0,4.1219512195122,0,4,4.41463414634146,76.1951219512195,0,1.07317073170732,41,40,1,1.225,"pleasure","sex","moan",4.925,"OTHER","pleasure",TRUE
"234","ut_sex_29-f-orgasm-scream.mp3",1.54838709677419,0,0,14.3870967741935,0.741935483870968,2.16129032258065,31.258064516129,51.8387096774194,0.483870967741935,1.06451612903226,31,31,0,1.48387096774194,"pleasure","sex","scream",7.399,"OTHER","pleasure",TRUE
"235","ut_sex_30-f-orgasm-scream.mp3",0,22.6285714285714,11.2,18.6571428571429,5.45714285714286,0,27.9714285714286,9.14285714285714,0,1.25714285714286,35,34,1,1.52941176470588,"pleasure","sex","roar",1.373,"OTHER","pain",FALSE
"236","ut_sex_36-m-moaning.mp3",1.12,0,6.8,14.28,0,3.44,3.92,51.6,1.2,1.32,25,25,0,1.48,"pleasure","sex","grunt",0.986,"AM","pleasure",TRUE
"237","ut_sex_47-m-moaning.mp3",2.94117647058824,0,2.55882352941176,19.3235294117647,0,6.08823529411765,6.70588235294118,36.7352941176471,1.26470588235294,1.26470588235294,34,34,0,1.23529411764706,"pleasure","sex","moan",2.022,"AM","pleasure",TRUE
"238","ut_sex_48-m-rhythmic-grunts.mp3",2.66666666666667,0,0,8,0,1.86666666666667,5.76666666666667,73.5333333333333,0.9,1.13333333333333,30,29,1,1.31034482758621,"pleasure","sex","grunt",4.922,"AM","pleasure",TRUE
"239","ut_sex_49-m-moaning.mp3",0.444444444444444,0,1.51851851851852,4.92592592592593,0,3.7037037037037,2.25925925925926,47.5925925925926,5.62962962962963,1.25925925925926,27,25,2,1.44,"pleasure","sex","tone",1.048,"AM","pleasure",TRUE
"240","ut_sex_56-m-groan.mp3",2.70967741935484,2.7741935483871,15.0322580645161,32.0967741935484,0,0,13.258064516129,8,6.58064516129032,1.38709677419355,31,31,0,1.25806451612903,"pleasure","sex","roar",1.001,"AM","effort",FALSE
